"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_1_212","ITGB1_98",26810,4311,0.763737593802953,"vehicle",61,"vehicle_61","plate_1",212,"F",2,"ITGB1",98
"plate_2_212","ITGB1_98",27448,4355,0.77438876785282,"vehicle",62,"vehicle_62","plate_2",212,"F",2,"ITGB1",98
"plate_4_212","ITGB1_98",6745,2095,0.227305737109659,"AG1478",92,"AG1478_92","plate_4",212,"F",2,"ITGB1",98
"plate_2_238","ITGB1_98",12809,2653,0.36238198983297,"AG1478",93,"AG1478_93","plate_2",238,"H",4,"ITGB1",98
"plate_4_238","ITGB1_98",7963,3134,0.478818687969015,"AG1478",94,"AG1478_94","plate_4",238,"H",4,"ITGB1",98
"plate_5_238","ITGB1_98",8704,3493,0.565722585330429,"vehicle",63,"vehicle_63","plate_5",238,"H",4,"ITGB1",98
"plate_6_238","ITGB1_98",5735,3227,0.501331396756233,"AG1478",95,"AG1478_95","plate_6",238,"H",4,"ITGB1",98
"plate_2_232","ITGB1_98",9017,2693,0.372064875332849,"AG1478",96,"AG1478_96","plate_2",232,"G",10,"ITGB1",98
"plate_3_232","ITGB1_98",8424,2855,0.411280561607359,"AG1478",97,"AG1478_97","plate_3",232,"G",10,"ITGB1",98
"plate_5_232","ITGB1_98",9452,2742,0.383926410070201,"AG1478",98,"AG1478_98","plate_5",232,"G",10,"ITGB1",98
"plate_2_180","ITGB1_98",18551,4320,0.765916243040426,"vehicle",64,"vehicle_64","plate_2",180,"C",6,"ITGB1",98
"plate_3_180","ITGB1_98",11256,3205,0.4960058097313,"AG1478",99,"AG1478_99","plate_3",180,"C",6,"ITGB1",98
"plate_5_180","ITGB1_98",35318,4775,0.876059065601549,"vehicle",65,"vehicle_65","plate_5",180,"C",6,"ITGB1",98
"plate_6_180","ITGB1_98",13666,2848,0.40958605664488,"AG1478",100,"AG1478_100","plate_6",180,"C",6,"ITGB1",98
