sample_id	ab_id	treatment	ab_count_raw	ab_count_subsampled	ab_count_clr	uniquenr	treatment_uniquenr	sample_folder	well_name	plate_row	plate_column	ab_name	ab_barcode	normfactor	lib_size	ab_count_tmm
plate_4_190	ITGB1_98	AG1478	12099	2707	3.958001265633392	26	AG1478_26	plate_4	190	D	4	ITGB1	98	1.030272953278589	41306	0.30286359382270744
plate_1_173	ITGB1_98	AG1478	6248	2411	4.016136001737557	27	AG1478_27	plate_1	173	B	11	ITGB1	98	0.8521957338141811	24331	0.3098463319158097
plate_2_173	ITGB1_98	vehicle	13257	4327	4.520300270443366	11	vehicle_11	plate_2	173	B	11	ITGB1	98	0.9493632418624456	29662	0.4947155760919262
plate_3_173	ITGB1_98	vehicle	14299	4524	4.515486661256778	12	vehicle_12	plate_3	173	B	11	ITGB1	98	0.9375114226048781	31944	0.43723879236402124
plate_5_173	ITGB1_98	vehicle	7219	3330	4.101043614123061	13	vehicle_13	plate_5	173	B	11	ITGB1	98	1.0748185609662877	22116	0.30682361765556326
plate_6_173	ITGB1_98	AG1478	5363	2973	4.077918571775945	28	AG1478_28	plate_6	173	B	11	ITGB1	98	1.0083872788081056	17077	0.2975127492675324
plate_1_187	ITGB1_98	AG1478	11430	2825	4.030200991369608	29	AG1478_29	plate_1	187	D	1	ITGB1	98	1.0897777595641376	37845	0.28565715572989725
plate_2_187	ITGB1_98	vehicle	17999	3694	4.247322051214822	14	vehicle_14	plate_2	187	D	1	ITGB1	98	1.0269182368348022	47562	0.3924542881545542
plate_3_187	ITGB1_98	vehicle	22042	3774	4.324498341243139	15	vehicle_15	plate_3	187	D	1	ITGB1	98	1.005076092765673	57046	0.34421419143024384
plate_4_187	ITGB1_98	vehicle	20348	4012	4.397913292646734	16	vehicle_16	plate_4	187	D	1	ITGB1	98	0.9226672407474039	50636	0.45408805407215397
plate_5_187	ITGB1_98	AG1478	13674	3255	4.191462615089517	30	AG1478_30	plate_5	187	D	1	ITGB1	98	1.0197631355854004	40182	0.3368367931918298
plate_6_187	ITGB1_98	vehicle	13301	3273	4.157815048504627	17	vehicle_17	plate_6	187	D	1	ITGB1	98	0.9788465801643004	36998	0.353351757603922
plate_1_178	ITGB1_98	AG1478	4947	1975	3.52528447707878	31	AG1478_31	plate_1	178	C	4	ITGB1	98	1.2467814728786966	23847	0.17490319089108075
